City,AQI,Precipitation,GDP,Temperature,Longititute,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration(10,000ton)"
Aksu City,137,80,610,12,80,41,1108,6547,no,34,23
Alxa League,85,150,323,24,106,39,1673,1,no,36,23
Anqin City,79,2128,1613,17,117,31,13,2271,no,46,27
Anshan City,111,708,2326,11,123,41,49,2534,no,38,58
Anyang City,110,672,1884,15,114,36,71,4735,no,36,55
Baoding City,220,567,2758,13,116,39,17,4565,no,31,49
Baoji City,111,695,1789,15,107,34,567,5352,no,41,37
Baoshan City,56,1000,552,17,99,25,1673,4529,no,31,11
Baotou City,45,263,3782,9,110,41,1065,2130,no,37,52
Bayannur City,53,188,887,4,107,41,1042,5093,no,35,16
Bazhong City,58,1199,501,17,107,32,443,2653,no,39,15
Beihai City,23,1670,892,25,109,21,21,458,yes,27,25
Beijing City,296,459,22969,14,116,40,31,1292,no,34,687
Bengbu City,96,910,1253,16,117,33,25,2599,no,38,30
Benxi City,63,900,1160,9,124,41,100,602,no,45,32
Binzhou City,142,565,2355,14,118,37,9,1110,no,43,28
Cangzhiu City,105,581,3133,14,117,38,12,3169,yes,43,24
Changchun City,106,530,5530,7,125,44,219,382,no,36,31
Changde City,69,1550,2709,18,112,29,38,2366,no,36,27
Changhua County,38,1775,1356,23,121,24,14,1200,yes,46,24
Changsha City,76,1638,8510,19,113,28,63,2831,no,38,203
Changshu City,51,1615,2100,17,121,32,7,1200,no,42,29
Changzhi City,91,592,1137,12,113,36,931,247,no,33,23
Changzhou City,116,1451,5273,17,120,32,3,2399,no,42,76
Chaohu City,22,1215,273,17,118,32,13,7708,no,43,14
Chaoyang City,224,450,780,14,120,42,168,1022,no,41,33
Chaozhou City,106,1686,910,23,117,24,18,3503,no,32,52
Chengde City,195,440,1343,10,118,41,325,89,no,33,30
Chengdu City,118,873,10912,18,104,31,485,6116,no,40,274
Chenzhou City,49,1452,2012,20,113,26,189,1081,no,40,22
Chiayi County,51,1775,578,23,120,23,2,273,yes,46,24
Chifeng City,91,374,1861,8,119,42,587,1754,no,42,42
Chizhou City,40,1959,531,17,117,31,18,1199,no,37,14
Chongqing Municipality,66,1451,15720,20,107,30,238,1904,no,40,440
Chuxiong Prefecture,44,900,763,15,102,25,1777,5574,no,36,11
Chuzhou City,63,1035,1306,16,118,32,31,1456,no,47,13
Dali City,39,1769,901,16,100,26,2007,3515,no,37,22
Dalian City,132,602,7700,12,122,39,29,2820,yes,19,123
Dandong City,86,878,990,10,124,40,5,3237,yes,48,21
Daqing City,61,428,2984,6,125,47,149,4667,no,44,44
Datong City,82,56,1060,7,113,40,1044,9492,no,36,23
Dazhou City,86,1086,1354,19,108,31,306,974,no,30,23
Dehong Prefecture,49,1767,292,18,99,24,927,110,no,36,10
Deyang City,89,711,1605,18,104,31,491,2950,no,40,18
Dezhou City,116,548,2750,15,116,37,23,1448,no,41,30
Diqing Prefecture,23,824,161,13,100,28,3294,17,no,36,23
Dongguan City,26,2138,6275,24,114,23,6,2417,no,37,390
Dongying City,199,685,3450,15,118,37,2,617,yes,35,22
Enshi Prefecture,75,1535,670,16,109,30,490,4942,no,17,12
Erdos City,61,348,4226,6,110,40,1311,2624,no,36,22
Erenhot City,57,137,101,3,112,44,963,1471,no,36,7
Ezhou City,113,1364,730,18,115,30,17,1740,no,36,18
Foshan City,23,2055,8004,24,113,23,5,2469,no,44,94
Fushun City,67,760,1236,7,124,42,83,2069,no,34,38
Fuxin city,141,480,530,9,122,42,146,1741,no,34,29
Fuyang City(Anhui),44,910,1267,18,116,33,33,2290,no,29,25
Fuyang City(Zhejiang),80,2138,644,16,120,30,21,360,no,36,29
Fuzhou City,37,1775,5618,21,119,26,10,2322,yes,41,106
Fuzhou City(Jiangxi),42,1700,1105,20,116,28,45,6648,no,40,22
Ganzhou City,32,1469,1974,21,115,26,109,8047,no,37,38
Garze Prefecture,17,920,218,14,102,30,2552,8,no,36,23
Guang'an City,64,1071,1006,18,107,30,302,2106,no,39,14
Guangyuan City,46,893,605,17,106,32,488,2064,no,37,19
Guangzhou City,20,2478,18100,24,113,23,18,5940,yes,19,456
Guilin City,61,1901,1943,20,110,25,154,1535,no,44,38
Guiyang City,36,1433,2891,19,107,27,1277,2163,no,39,112
Haikou City,22,1674,1161,26,110,20,15,2916,yes,43,78
Haimen City,45,581,915,17,121,32,5,4900,yes,41,9
Handan City,113,458,3080,15,114,37,55,780,no,32,49
Hangzhou City,103,2138,10054,18,120,30,19,3527,no,43,352
Haozhou City,59,831,943,11,116,34,39,3693,no,41,18
Harbin City,102,423,5751,6,127,46,118,11366,no,44,143
Hebi City,85,534,713,14,114,36,89,3602,no,39,16
Hefei City,99,1225,5660,17,117,32,38,3357,no,37,122
Hengshui City,142,547,1139,15,116,38,24,503,no,30,27
Hengyang City,66,142,2602,19,113,27,82,8360,no,45,44
Heyuan City,16,1700,810,23,115,24,34,8950,no,31,21
Heze City,88,831,2401,16,115,35,54,1762,no,45,40
Hinggan League,36,1469,502,5,122,46,274,27,no,33,29
Hohhot City,49,361,3091,6,112,41,1072,177,no,36,23
HongKong SAR,37,2383,17900,23,114,22,321,25900,yes,37,594
Honghe Prefecture,75,1893,1222,18,103,23,1304,137,no,36,23
Hsinchu City,21,1700,686,22,121,25,25,4199,yes,46,24
Hsinchu County,22,1700,714,22,121,25,30,380,yes,46,24
Huai'an City,101,878,2745,14,119,34,13,6461,no,40,43
Huaibei City,97,910,760,16,117,34,32,3883,no,44,22
Huainan City,73,910,771,17,117,33,52,2213,no,39,32
Hualien County,24,1268,417,23,122,24,16,72,yes,46,24
Huanggang City,106,1550,1589,18,115,30,49,5996,no,40,19
Huangshan City,29,1469,545,18,118,30,122,833,no,34,13
Huangshan mountain Scenic Spot,88,440,545,8,118,30,710,90,no,33,23
Huangshi City,105,2137,1235,18,115,30,21,3698,no,40,29
Huizhou City,18,1670,3140,24,114,23,21,1372,yes,40,95
Huludao City,181,878,720,11,121,41,17,883,yes,30,25
Hulunbeier City,42,250,1596,0,120,49,612,10,no,33,22
Huzhou City,74,1450,2084,17,120,31,3,1408,no,42,46
Ji'an City,40,1035,1329,18,115,27,53,1898,no,32,17
Jiangmen City,46,1966,2240,24,113,23,6,2032,no,40,46
Jiangyin City,82,581,2881,17,120,32,9,1865,yes,43,18
Jiaonan City,85,878,981,11,120,36,6,90,yes,44,24
Jiaozhou City,54,1742,981,14,120,36,10,832,yes,39,19
Jiaozuo City,199,689,1943,17,113,35,100,5564,no,35,28
Jiaxing City,97,574,3517,17,121,31,4,3742,yes,38,33
Jiayuguan City,75,267,195,7,98,40,1656,1826,no,40,7
Jieyang city,62,1775,1890,21,116,24,4,2095,no,40,33
Jilin City,71,308,2455,7,127,44,202,2559,no,19,34
Jimo City,61,1670,1110,14,120,36,22,913,yes,45,25
Jinan City,107,714,6131,16,117,37,148,2504,no,51,137
Jinchang City,108,480,224,11,102,38,1526,3702,no,36,9
Jincheng City,102,592,1040,13,113,36,703,244,no,33,17
Jingdezhen City,48,1700,772,19,117,29,35,2522,no,41,15
Jingmen City,110,534,1388,17,112,31,87,1995,no,32,15
Jingzhou City,100,1550,1590,18,112,30,34,9389,no,37,24
Jinhua City,59,1638,3406,19,120,29,43,1720,no,36,46
Jining City,83,831,4013,14,117,35,39,1583,no,45,49
Jintan City,106,1742,471,17,120,32,7,567,no,32,14
Jinzhong City,110,440,1046,12,113,38,811,203,no,33,23
Jinzhou City,202,547,1358,12,121,41,23,309,yes,44,25
Jiujiang City,47,1550,1903,18,116,30,41,6055,no,41,22
Jiyuan City,140,480,494,15,113,35,146,6108,no,40,19
Jurong City,65,1200,468,17,119,32,24,1804,no,40,7
Kaifeng City,65,1450,1605,16,114,35,76,5601,no,39,32
Kaohsiung City,68,1738,4095,24,120,23,9,941,yes,44,136
Karamay City,74,267,670,9,85,46,354,5185,no,43,17
Keelung City,13,1775,514,21,122,25,10,2802,yes,41,24
Kinmen County,35,1775,153,21,118,24,-12,914,yes,46,22
Kunming City,62,1190,3970,17,103,25,1930,2170,no,41,159
Kunshan City,55,1615,3080,18,121,31,7,2893,no,44,69
Laiwu City,138,450,755,15,118,36,197,1003,no,45,22
Laixi City,118,672,526,14,121,37,70,729,no,42,16
Laizhou City,106,708,717,15,120,37,48,1018,yes,43,23
Langfang City,181,1742,2056,14,117,40,18,721,no,36,27
Lanzhou City,75,267,2096,12,104,36,1525,7540,no,26,98
Leshan City,87,1067,1301,19,104,30,355,1981,no,33,19
Lhasa City,33,377,389,10,91,30,3660,1422,no,36,24
Lhoka Prefecture,35,617,115,7,92,29,3572,4,no,36,23
Liangshan Prefecture,31,1433,1315,15,102,28,1523,75,no,36,23
Lianyungang City,65,878,2161,14,119,35,4,1463,yes,41,36
Liaocheng City,120,458,2664,15,116,36,37,2088,no,39,41
Liaoyang City,62,601,1025,10,123,41,27,391,no,33,31
Lijiang City,26,665,290,14,100,27,2384,6538,no,41,14
Lin'an City,86,1224,466,17,120,30,39,1114,no,37,13
Lincang City,48,1000,502,19,100,24,1493,5543,no,39,6
Linfen City,76,1535,1161,15,112,36,450,215,no,33,14
Linyi City,157,672,3763,15,118,35,68,1633,yes,45,86
Lishui City,32,1229,1102,20,120,28,74,1296,no,41,16
Liuzhou City,41,1229,2299,22,109,24,91,3517,no,43,50
Liyang City,99,1615,738,17,119,31,7,1896,no,43,7
Longyan City,19,1469,1738,22,117,25,329,2089,no,43,24
Loudi City,76,142,1291,18,112,28,120,7814,no,38,14
Lu'an City,70,308,1143,14,116,32,75,3600,no,44,19
Luohe City,85,831,993,16,114,34,62,5283,no,34,22
Luoyang City,110,602,3509,16,112,35,147,7278,no,32,71
Luzhou City,106,1291,1353,19,105,29,262,2926,no,40,29
Lvliang City,64,1071,956,12,111,38,951,181,no,33,23
Macao SAR,44,2000,3358,22,114,22,40,20547,yes,41,22
Maoming City,26,1638,2446,25,111,22,30,4263,yes,25,22
Ma’anshan City,89,2137,1365,17,118,32,19,4105,no,40,23
Meishan City,110,990,1030,19,104,30,415,1711,no,35,26
Meizhou City,12,1229,955,23,116,24,87,1191,no,39,22
Mianyang City,88,718,1700,18,105,31,473,2673,no,39,34
Miaoli County,25,1700,623,22,121,25,60,310,yes,46,22
Mudanjiang City,48,361,1186,6,130,45,234,68,no,33,29
Nagqu Prefecture,47,262,96,-2,92,31,4505,1,no,36,23
Nanchang City,61,2207,4000,19,116,29,16,7536,no,44,64
Nanchong City,91,1094,1516,19,106,31,338,2619,no,43,37
Nanjing City,97,1769,9721,17,119,32,13,1462,no,38,239
Nanning City,28,1229,3410,23,108,23,79,3411,no,37,107
Nanping City,12,1229,1340,21,118,27,87,1769,no,43,12
Nantong City,55,684,6148,16,121,32,2,4082,yes,43,60
Nantou Ccounty,64,1893,590,19,121,24,446,124,yes,44,22
Nanyang City,111,602,2875,16,113,33,130,2506,no,36,49
Neijiang City,89,1128,1199,19,105,30,335,2307,no,35,16
New Taipei City,16,1775,5470,22,121,25,15,1935,yes,41,24
Ngari,28,74,37,1,80,33,4280,1,no,36,23
Ngawa Prefecture,23,665,271,8,102,32,2617,11,no,36,23
Ningbo City,51,1651,8012,18,122,30,10,2444,yes,39,111
Nujiang Prefecture,19,617,113,11,99,26,791,36,no,36,23
Nyingchi City,35,617,105,3,94,30,2994,1905,no,36,2
Panjin City,119,878,1268,10,122,41,5,352,yes,29,24
Panzhihua City,41,1053,925,22,102,27,1156,2102,no,40,18
Penghu County,24,1670,136,23,120,24,21,807,yes,41,24
Penglai City,78,581,471,14,121,38,18,1115,yes,42,7
Pingdingshan City,103,689,1706,16,113,34,124,3620,no,37,30
Pingdu City,69,708,779,14,120,37,52,660,yes,44,37
Pingtung County,51,1966,946,25,121,23,17,302,yes,46,24
Pingxiang city,55,900,912,14,114,28,96,5258,no,40,16
